when                ,total_error ,average_error ,avg_runtime ,multithreaded ,cannyify_image ,thin_image ,refined_votes ,n_average_segment_tips ,trim_segment_edges ,manysegs_average_segments ,use_average_theta ,faster_nearest_idx
2024-04-21 16:54:22 ,       2.77 ,         0.28 ,       5.98 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,True                      ,False             ,True
2024-04-21 16:54:33 ,       2.71 ,         0.27 ,       9.46 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,True                      ,False             ,False
2024-04-21 16:54:40 ,       3.05 ,         0.31 ,       6.07 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,False                     ,True              ,True
2024-04-21 16:54:51 ,       4.11 ,         0.41 ,       9.17 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,False                     ,True              ,False
2024-04-21 16:54:58 ,       3.15 ,         0.32 ,       5.95 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,False                     ,False             ,True
2024-04-21 16:55:09 ,       3.00 ,         0.30 ,       9.23 ,True          ,True           ,False      ,True          ,                    15 ,                 0 ,False                     ,False             ,False
2024-04-21 16:55:16 ,       3.05 ,         0.31 ,       5.99 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,True                      ,True              ,True
2024-04-21 16:55:27 ,       4.11 ,         0.41 ,       9.15 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,True                      ,True              ,False
2024-04-21 16:55:34 ,       2.77 ,         0.28 ,       6.10 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,True                      ,False             ,True
2024-04-21 16:55:45 ,       2.71 ,         0.27 ,       9.40 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,True                      ,False             ,False
2024-04-21 16:55:53 ,       3.05 ,         0.31 ,       6.11 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,False                     ,True              ,True
2024-04-21 16:56:04 ,       4.11 ,         0.41 ,       9.26 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,False                     ,True              ,False
2024-04-21 16:56:11 ,       3.04 ,         0.30 ,       6.01 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,False                     ,False             ,True
2024-04-21 16:56:22 ,       2.70 ,         0.27 ,       9.17 ,True          ,True           ,False      ,True          ,                    15 ,                 5 ,False                     ,False             ,False
2024-04-21 16:56:28 ,       4.12 ,         0.41 ,       5.17 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,True                      ,True              ,True
2024-04-21 16:56:37 ,       3.62 ,         0.36 ,       7.41 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,True                      ,True              ,False
2024-04-21 16:56:43 ,       1.21 ,         0.12 ,       4.85 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,True                      ,False             ,True
2024-04-21 16:56:51 ,       0.83 ,         0.08 ,       7.08 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,True                      ,False             ,False
2024-04-21 16:56:57 ,       4.12 ,         0.41 ,       4.80 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,False                     ,True              ,True
2024-04-21 16:57:06 ,       3.62 ,         0.36 ,       7.15 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,False                     ,True              ,False
2024-04-21 16:57:11 ,      14.98 ,         1.50 ,       4.77 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,False                     ,False             ,True
2024-04-21 16:57:20 ,      14.52 ,         1.45 ,       7.15 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,False                     ,False             ,False
2024-04-21 16:57:26 ,       4.12 ,         0.41 ,       4.78 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,True                      ,True              ,True
2024-04-21 16:57:35 ,       3.62 ,         0.36 ,       7.28 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,True                      ,True              ,False
2024-04-21 16:57:40 ,       1.21 ,         0.12 ,       4.83 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,True                      ,False             ,True
2024-04-21 16:57:49 ,       0.83 ,         0.08 ,       7.24 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,True                      ,False             ,False
2024-04-21 16:57:55 ,       4.12 ,         0.41 ,       4.82 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,False                     ,True              ,True
2024-04-21 16:58:04 ,       3.62 ,         0.36 ,       7.14 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,False                     ,True              ,False
2024-04-21 16:58:09 ,      10.45 ,         1.05 ,       4.77 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,False                     ,False             ,True
2024-04-21 16:58:18 ,      10.07 ,         1.01 ,       7.18 ,True          ,True           ,False      ,False         ,                     1 ,                 5 ,False                     ,False             ,False
2024-04-21 16:58:24 ,       4.12 ,         0.41 ,       4.78 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,True                      ,True              ,True
2024-04-21 16:58:32 ,       3.62 ,         0.36 ,       7.23 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,True                      ,True              ,False
2024-04-21 16:58:38 ,       1.21 ,         0.12 ,       4.75 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,True                      ,False             ,True
2024-04-21 16:58:47 ,       0.83 ,         0.08 ,       7.21 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,True                      ,False             ,False
2024-04-21 16:58:52 ,       4.12 ,         0.41 ,       4.74 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,False                     ,True              ,True
2024-04-21 16:59:01 ,       3.62 ,         0.36 ,       7.19 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,False                     ,True              ,False
2024-04-21 16:59:06 ,      13.27 ,         1.33 ,       4.76 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,False                     ,False             ,True
2024-04-21 16:59:15 ,      12.36 ,         1.24 ,       7.12 ,True          ,True           ,False      ,False         ,                     5 ,                 0 ,False                     ,False             ,False
2024-04-21 16:59:21 ,       4.12 ,         0.41 ,       4.79 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,True                      ,True              ,True
2024-04-21 16:59:30 ,       3.62 ,         0.36 ,       7.32 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,True                      ,True              ,False
2024-04-21 16:59:36 ,       1.21 ,         0.12 ,       5.24 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,True                      ,False             ,True
2024-04-21 16:59:44 ,       0.83 ,         0.08 ,       7.12 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,True                      ,False             ,False
2024-04-21 16:59:50 ,       4.12 ,         0.41 ,       4.73 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,False                     ,True              ,True
2024-04-21 16:59:59 ,       3.62 ,         0.36 ,       7.16 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,False                     ,True              ,False
2024-04-21 17:00:04 ,       6.03 ,         0.60 ,       4.95 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,False                     ,False             ,True
2024-04-21 17:00:14 ,       7.57 ,         0.76 ,       7.36 ,True          ,True           ,False      ,False         ,                     5 ,                 5 ,False                     ,False             ,False
2024-04-21 17:00:19 ,       4.12 ,         0.41 ,       4.81 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,True                      ,True              ,True
2024-04-21 17:00:28 ,       3.62 ,         0.36 ,       7.20 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,True                      ,True              ,False
2024-04-21 17:00:33 ,       1.21 ,         0.12 ,       4.72 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,True                      ,False             ,True
2024-04-21 17:00:42 ,       0.83 ,         0.08 ,       7.19 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,True                      ,False             ,False
2024-04-21 17:00:48 ,       4.12 ,         0.41 ,       4.69 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,False                     ,True              ,True
2024-04-21 17:00:57 ,       3.62 ,         0.36 ,       7.20 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,False                     ,True              ,False
2024-04-21 17:01:02 ,       8.84 ,         0.88 ,       4.73 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,False                     ,False             ,True
2024-04-21 17:01:11 ,       7.75 ,         0.78 ,       7.09 ,True          ,True           ,False      ,False         ,                    15 ,                 0 ,False                     ,False             ,False
2024-04-21 17:01:17 ,       4.12 ,         0.41 ,       4.79 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,True                      ,True              ,True
2024-04-21 17:01:26 ,       3.62 ,         0.36 ,       7.11 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,True                      ,True              ,False
2024-04-21 17:01:31 ,       1.21 ,         0.12 ,       4.84 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,True                      ,False             ,True
2024-04-21 17:01:40 ,       0.83 ,         0.08 ,       7.26 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,True                      ,False             ,False
2024-04-21 17:01:46 ,       4.12 ,         0.41 ,       4.85 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,False                     ,True              ,True
2024-04-21 17:01:55 ,       3.62 ,         0.36 ,       7.16 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,False                     ,True              ,False
2024-04-21 17:02:00 ,       5.76 ,         0.58 ,       4.67 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,False                     ,False             ,True
2024-04-21 17:02:09 ,       5.69 ,         0.57 ,       7.17 ,True          ,True           ,False      ,False         ,                    15 ,                 5 ,False                     ,False             ,False
2024-04-21 17:02:14 ,       2.45 ,         0.24 ,       4.03 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,True                      ,True              ,True
2024-04-21 17:02:20 ,       4.52 ,         0.45 ,       5.68 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,True                      ,True              ,False
2024-04-21 17:02:25 ,       2.00 ,         0.20 ,       4.01 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,True                      ,False             ,True
2024-04-21 17:02:32 ,       2.82 ,         0.28 ,       5.61 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,True                      ,False             ,False
2024-04-21 17:02:37 ,       2.45 ,         0.24 ,       4.34 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,False                     ,True              ,True
2024-04-21 17:02:44 ,       4.52 ,         0.45 ,       6.08 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,False                     ,True              ,False
2024-04-21 17:02:49 ,       1.92 ,         0.19 ,       4.08 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,False                     ,False             ,True
2024-04-21 17:02:55 ,       2.26 ,         0.23 ,       5.63 ,True          ,False          ,True       ,True          ,                     1 ,                 0 ,False                     ,False             ,False
2024-04-21 17:03:00 ,       2.45 ,         0.24 ,       4.03 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,True                      ,True              ,True
2024-04-21 17:03:07 ,       4.52 ,         0.45 ,       5.63 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,True                      ,True              ,False
2024-04-21 17:03:11 ,       2.00 ,         0.20 ,       4.01 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,True                      ,False             ,True
2024-04-21 17:03:18 ,       2.82 ,         0.28 ,       5.65 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,True                      ,False             ,False
2024-04-21 17:03:23 ,       2.45 ,         0.24 ,       4.07 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,False                     ,True              ,True
2024-04-21 17:03:29 ,       4.52 ,         0.45 ,       5.68 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,False                     ,True              ,False
2024-04-21 17:03:34 ,       1.95 ,         0.19 ,       4.09 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,False                     ,False             ,True
2024-04-21 17:03:41 ,       2.69 ,         0.27 ,       5.75 ,True          ,False          ,True       ,True          ,                     1 ,                 5 ,False                     ,False             ,False
2024-04-21 17:03:46 ,       2.45 ,         0.24 ,       4.01 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,True                      ,True              ,True
2024-04-21 17:03:52 ,       4.52 ,         0.45 ,       5.63 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,True                      ,True              ,False
2024-04-21 17:03:57 ,       2.00 ,         0.20 ,       4.07 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,True                      ,False             ,True
2024-04-21 17:04:04 ,       2.82 ,         0.28 ,       5.61 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,True                      ,False             ,False
2024-04-21 17:04:08 ,       2.45 ,         0.24 ,       4.03 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,False                     ,True              ,True
2024-04-21 17:04:15 ,       4.52 ,         0.45 ,       5.64 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,False                     ,True              ,False
2024-04-21 17:04:20 ,       1.92 ,         0.19 ,       4.08 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,False                     ,False             ,True
2024-04-21 17:04:26 ,       2.39 ,         0.24 ,       5.64 ,True          ,False          ,True       ,True          ,                     5 ,                 0 ,False                     ,False             ,False
2024-04-21 17:04:31 ,       2.45 ,         0.24 ,       4.04 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,True                      ,True              ,True
2024-04-21 17:04:38 ,       4.52 ,         0.45 ,       5.68 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,True                      ,True              ,False
2024-04-21 17:04:42 ,       2.00 ,         0.20 ,       4.01 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,True                      ,False             ,True
2024-04-21 17:04:49 ,       2.82 ,         0.28 ,       5.62 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,True                      ,False             ,False
2024-04-21 17:04:54 ,       2.45 ,         0.24 ,       4.09 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,False                     ,True              ,True
2024-04-21 17:05:01 ,       4.52 ,         0.45 ,       5.59 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,False                     ,True              ,False
2024-04-21 17:05:05 ,       1.95 ,         0.19 ,       3.97 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,False                     ,False             ,True
2024-04-21 17:05:12 ,       2.57 ,         0.26 ,       5.71 ,True          ,False          ,True       ,True          ,                     5 ,                 5 ,False                     ,False             ,False
2024-04-21 17:05:17 ,       2.45 ,         0.24 ,       4.05 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,True                      ,True              ,True
2024-04-21 17:05:24 ,       4.52 ,         0.45 ,       5.62 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,True                      ,True              ,False
2024-04-21 17:05:28 ,       2.00 ,         0.20 ,       4.05 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,True                      ,False             ,True
2024-04-21 17:05:35 ,       2.82 ,         0.28 ,       5.59 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,True                      ,False             ,False
2024-04-21 17:05:39 ,       2.45 ,         0.24 ,       4.17 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,False                     ,True              ,True
2024-04-21 17:05:47 ,       4.52 ,         0.45 ,       6.26 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,False                     ,True              ,False
2024-04-21 17:05:51 ,       1.90 ,         0.19 ,       3.91 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,False                     ,False             ,True
2024-04-21 17:05:58 ,       2.44 ,         0.24 ,       5.69 ,True          ,False          ,True       ,True          ,                    15 ,                 0 ,False                     ,False             ,False
2024-04-21 17:06:03 ,       2.45 ,         0.24 ,       3.89 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,True                      ,True              ,True
2024-04-21 17:06:09 ,       4.52 ,         0.45 ,       5.59 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,True                      ,True              ,False
2024-04-21 17:06:14 ,       2.00 ,         0.20 ,       3.98 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,True                      ,False             ,True
2024-04-21 17:06:21 ,       2.82 ,         0.28 ,       5.65 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,True                      ,False             ,False
2024-04-21 17:06:25 ,       2.45 ,         0.24 ,       4.05 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,False                     ,True              ,True
2024-04-21 17:06:32 ,       4.52 ,         0.45 ,       5.65 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,False                     ,True              ,False
2024-04-21 17:06:37 ,       1.90 ,         0.19 ,       3.94 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,False                     ,False             ,True
2024-04-21 17:06:44 ,       2.41 ,         0.24 ,       5.70 ,True          ,False          ,True       ,True          ,                    15 ,                 5 ,False                     ,False             ,False
2024-04-21 17:06:47 ,       4.06 ,         0.41 ,       3.27 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,True                      ,True              ,True
2024-04-21 17:06:53 ,       3.70 ,         0.37 ,       4.52 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,True                      ,True              ,False
2024-04-21 17:06:56 ,       0.51 ,         0.05 ,       3.20 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,True                      ,False             ,True
2024-04-21 17:07:02 ,       0.78 ,         0.08 ,       4.54 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,True                      ,False             ,False
2024-04-21 17:07:05 ,       4.06 ,         0.41 ,       3.17 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,False                     ,True              ,True
2024-04-21 17:07:11 ,       3.70 ,         0.37 ,       4.60 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,False                     ,True              ,False
2024-04-21 17:07:14 ,       8.33 ,         0.83 ,       3.29 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,False                     ,False             ,True
2024-04-21 17:07:20 ,       7.30 ,         0.73 ,       4.55 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,False                     ,False             ,False
2024-04-21 17:07:23 ,       4.06 ,         0.41 ,       3.24 ,True          ,False          ,True       ,False         ,                     1 ,                 5 ,True                      ,True              ,True
